CensusTract,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
6037214700,California,Los Angeles,2590,1108,1482,10.0,77.3,1.0,0.7,7.2,0.0,2017,89583.0,20144.0,67148.0,11107.0,6.6,0.0,64.5,9.4,19.5,0.6,6.0,79.1,1.7,2.7,5.8,2.1,8.6,23.1,1540,74.0,11.9,12.9,1.2,8.5
6037214800,California,Los Angeles,3021,1171,1850,8.2,75.7,7.2,0.0,6.1,0.0,2441,93350.0,13542.0,64605.0,12156.0,7.5,0.0,58.1,12.7,25.8,1.9,1.4,71.2,2.3,1.9,6.8,5.4,12.4,26.7,2117,79.2,2.3,18.5,0.0,6.2
6037214901,California,Los Angeles,2974,1238,1736,6.5,72.8,0.6,1.3,15.7,0.0,2581,56893.0,11676.0,63196.0,10796.0,14.9,0.0,72.2,8.3,19.5,0.0,0.0,84.4,1.3,3.3,4.1,3.5,3.4,23.6,1987,84.6,6.8,8.6,0.0,8.4
6037214902,California,Los Angeles,2869,1308,1561,6.2,66.2,3.2,0.0,18.1,0.0,2219,65625.0,14338.0,55975.0,8841.0,11.5,19.4,65.3,8.2,18.8,2.9,4.8,64.2,4.6,6.1,18.0,1.6,5.6,21.4,1935,90.7,4.5,4.8,0.0,8.1
6037215101,California,Los Angeles,2626,1075,1551,15.4,62.4,1.9,0.0,12.7,1.1,1903,50442.0,7284.0,41004.0,5697.0,18.4,46.9,67.0,13.5,17.2,0.0,2.3,65.8,1.9,9.6,7.9,2.6,12.3,27.8,1856,76.4,7.2,16.4,0.0,5.6
6037215102,California,Los Angeles,3173,1616,1557,11.0,57.1,3.6,0.0,26.8,0.0,2573,49496.0,12227.0,42293.0,5914.0,15.7,9.9,70.3,8.5,15.8,2.5,2.8,65.1,2.7,7.8,5.3,6.6,12.4,28.6,2424,81.2,4.5,14.2,0.0,7.1
6037216100,California,Los Angeles,2801,1473,1328,10.0,44.1,18.2,0.0,17.9,0.0,1973,96731.0,23913.0,65337.0,12896.0,8.2,6.7,71.6,13.6,12.9,1.0,1.0,73.3,7.5,1.0,4.8,1.2,12.2,25.4,1341,74.3,12.0,13.7,0.0,9.5
6037216200,California,Los Angeles,4797,2712,2085,14.8,33.7,23.9,0.6,15.7,1.1,3719,87302.0,16953.0,77371.0,16574.0,15.8,25.7,62.1,10.6,19.7,2.8,4.8,76.4,9.1,3.0,0.8,3.0,7.8,31.3,3236,85.8,2.8,11.3,0.0,6.8
6037216300,California,Los Angeles,5053,2265,2788,8.4,63.0,9.5,0.0,12.0,0.0,3831,90763.0,13294.0,65457.0,8838.0,5.2,0.0,62.8,8.8,25.5,0.0,2.9,75.0,2.0,6.0,2.1,5.8,9.1,28.0,3117,80.6,7.5,12.0,0.0,6.2
6037216401,California,Los Angeles,4686,2391,2295,8.7,72.2,2.9,0.0,12.5,0.0,3618,60266.0,14730.0,41605.0,9354.0,16.7,10.8,64.2,11.6,15.8,1.6,6.8,69.7,3.9,3.4,6.9,6.7,9.5,26.4,3105,85.1,4.9,9.7,0.3,3.9
