id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
60215269,6,California,CA,Alameda,Pasadena,Alameda city,Track,Track,91106,626,1873331,8648,34.1292208,-118.156538,111423,99540,77005,162.318725407929
60215279,6,California,CA,Alameda,San Marino,Alameda city,Track,Track,91108,626,6266421,6273,34.1202462,-118.1222337,178029,204164,78730,33.8605012360494
60215289,6,California,CA,Alameda,San Marino,Alameda city,Track,Track,91108,626,3490760,11524,34.1273015,-118.0983767,135171,138135,89088,167.154170605343
6021529,6,California,CA,Alameda,Los Angeles,Alameda city,Track,Track,90041,323,1250036,0,34.1297233,-118.2097406,82351,66987,60704,515.637215916031
60215299,6,California,CA,Alameda,Temple City,Alameda city,Track,Track,91780,626,1136820,0,34.1092,-118.0734465,88584,77759,67457,274.950279858233
60215309,6,California,CA,Alameda,San Gabriel,Alameda city,Track,Track,91775,626,1517325,0,34.1089102,-118.0972871,127983,300000,65760,78.1592854772201
60215319,6,California,CA,Alameda,Alhambra,Alameda city,Track,Track,91801,626,1285544,0,34.1039997,-118.1321698,121801,104023,86965,130.924087794266
60215329,6,California,CA,Alameda,South Pasadena,Alameda city,Track,Track,91030,626,2329350,30197,34.1193401,-118.1551292,74402,55405,58793,754.536319984113
60215339,6,California,CA,Alameda,Alhambra,Alameda city,Track,Track,91803,626,1713241,0,34.0820627,-118.1526495,78622,58614,56089,110.161435079993
60215349,6,California,CA,Alameda,Alhambra,Alameda city,Track,Track,91803,626,521034,0,34.0802793,-118.1390208,50396,35287,43992,720.818015946952
60215359,6,California,CA,Alameda,San Gabriel,Alameda city,Track,Track,91776,626,882649,0,34.099157,-118.1069461,57232,47607,42083,462.917598716727
60215369,6,California,CA,Alameda,Temple City,Alameda city,Track,Track,91780,626,1032163,0,34.0976173,-118.0712085,68897,51682,65138,292.484964545278
60215379,6,California,CA,Alameda,San Gabriel,Alameda city,Track,Track,91776,626,1834670,0,34.0830571,-118.0929535,100529,300000,74823,102.093801682792
